entity_key,canonical_name,entity_type,subtype,description
person_jia_baoyu,賈寶玉,PERSON,main_character,賈政、王夫人之子，小說核心人物。
person_lin_daiyu,林黛玉,PERSON,main_character,林如海、賈敏之女，賈母外孫女。
person_xue_baochai,薛寶釵,PERSON,main_character,薛姨媽之女，薛蟠之妹。
person_wang_xifeng,王熙鳳,PERSON,main_character,賈璉之妻，王夫人內侄女。
person_jia_mu,賈母,PERSON,elder,史太君，賈府最高長輩。
person_shi_xiangyun,史湘雲,PERSON,main_character,賈母娘家史氏親族女子。
person_miaoyu,妙玉,PERSON,main_character,櫳翠庵中帶髮修行女子。
person_jia_yuanchun,賈元春,PERSON,main_character,賈政長女，入宮為妃。
person_jia_yingchun,賈迎春,PERSON,main_character,賈赦之女。
person_jia_tanchun,賈探春,PERSON,main_character,賈政庶女。
person_jia_xichun,賈惜春,PERSON,main_character,寧府賈珍之妹。
person_li_wan,李紈,PERSON,main_character,賈珠之妻，賈蘭之母。
person_qin_keqing,秦可卿,PERSON,main_character,賈蓉之妻。
person_jia_lian,賈璉,PERSON,main_character,賈赦之子，王熙鳳之夫。
person_jia_zheng,賈政,PERSON,family_elder,賈寶玉之父。
person_wang_furen,王夫人,PERSON,family_elder,賈寶玉之母。
person_xue_yima,薛姨媽,PERSON,family_elder,薛寶釵之母，王夫人之妹。
person_jia_she,賈赦,PERSON,family_elder,賈母長子。
person_jia_zhen,賈珍,PERSON,family_elder,寧國府主事者。
person_jia_rong,賈蓉,PERSON,family_member,賈珍之子，秦可卿之夫。
person_jia_huan,賈環,PERSON,family_member,賈政庶子。
person_jia_lan,賈蘭,PERSON,family_member,賈珠、李紈之子。
person_jia_min,賈敏,PERSON,family_member,林黛玉之母。
person_lin_ruhai,林如海,PERSON,family_member,林黛玉之父。
person_xue_pan,薛蟠,PERSON,family_member,薛寶釵之兄。
person_xiangling,香菱,PERSON,servant_concubine,甄英蓮後名，薛蟠妾。
person_zhen_shiyin,甄士隱,PERSON,opening_character,第一回人物，甄英蓮之父。
person_jia_yucun,賈雨村,PERSON,official,貫穿前後的士人、官員。
person_leng_zixing,冷子興,PERSON,secondary,演說榮國府者。
person_liu_laolao,劉姥姥,PERSON,secondary,鄉村老婦，數入榮國府。
person_xiren,襲人,PERSON,maid,賈寶玉身邊丫鬟。
person_qingwen,晴雯,PERSON,maid,賈寶玉身邊丫鬟。
person_she_yue,麝月,PERSON,maid,賈寶玉身邊丫鬟。
person_qiuwen,秋紋,PERSON,maid,賈寶玉身邊丫鬟。
person_zijuan,紫鵑,PERSON,maid,林黛玉丫鬟。
person_xueyan,雪雁,PERSON,maid,林黛玉丫鬟。
person_ying_er,鶯兒,PERSON,maid,薛寶釵丫鬟。
person_ping_er,平兒,PERSON,maid,王熙鳳陪房丫鬟。
person_yuanyang,鴛鴦,PERSON,maid,賈母身邊丫鬟。
person_siqi,司棋,PERSON,maid,迎春丫鬟。
person_shishu,侍書,PERSON,maid,探春丫鬟。
person_ruhua,入畫,PERSON,maid,惜春丫鬟。
person_jinchuan,金釧,PERSON,maid,王夫人丫鬟。
person_yuchuan,玉釧,PERSON,maid,王夫人丫鬟。
person_you_erjie,尤二姐,PERSON,secondary,尤氏姐妹之一。
person_you_sanjie,尤三姐,PERSON,secondary,尤氏姐妹之一。
person_you_shi,尤氏,PERSON,family_member,賈珍之妻。
