motif_id,document_id,chapter_id,chapter_number,paragraph_id,paragraph_number,sentence_id,sentence_number,surface_text,motif_key,motif_type,subtype,char_start,char_end,start_token_id,end_token_id,start_token_number,end_token_number,priority,source,notes
hongloumeng_mo0000001,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00001,1,hongloumeng_s000002,2,書,motif_book,文藝,書,3,4,hongloumeng_t0000007,hongloumeng_t0000007,4,4,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000002,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00002,2,hongloumeng_s000005,1,石,motif_stone,物象,石,6,7,hongloumeng_t0000041,hongloumeng_t0000041,4,4,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000003,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00002,2,hongloumeng_s000005,1,石,motif_stone,物象,石,34,35,hongloumeng_t0000060,hongloumeng_t0000060,23,23,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000004,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00002,2,hongloumeng_s000006,2,青,motif_green_blue,顏色,青色,29,30,hongloumeng_t0000084,hongloumeng_t0000084,21,21,70,motif_rule,服色、植物、空間色彩。
hongloumeng_mo0000005,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00002,2,hongloumeng_s000007,3,石,motif_stone,物象,石,3,4,hongloumeng_t0000090,hongloumeng_t0000090,4,4,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000006,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00002,2,hongloumeng_s000007,3,石,motif_stone,物象,石,19,20,hongloumeng_t0000101,hongloumeng_t0000101,15,15,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000007,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000008,1,石,motif_stone,物象,石,45,46,hongloumeng_t0000152,hongloumeng_t0000152,34,34,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000008,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000009,2,紅,motif_red,顏色,紅色,20,21,hongloumeng_t0000174,hongloumeng_t0000174,17,17,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000009,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000010,3,石,motif_stone,物象,石,1,2,hongloumeng_t0000180,hongloumeng_t0000180,2,2,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000010,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000014,7,紅,motif_red,顏色,紅色,14,15,hongloumeng_t0000277,hongloumeng_t0000277,10,10,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000011,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000017,10,紅,motif_red,顏色,紅色,1,2,hongloumeng_t0000313,hongloumeng_t0000313,2,2,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000012,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000018,11,夢,motif_dream,夢幻,夢,43,44,hongloumeng_t0000356,hongloumeng_t0000356,31,31,90,motif_rule,真幻、預示、太虛幻境相關。
hongloumeng_mo0000013,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000019,12,石,motif_stone,物象,石,1,2,hongloumeng_t0000369,hongloumeng_t0000369,2,2,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000014,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000023,16,石,motif_stone,物象,石,0,1,hongloumeng_t0000425,hongloumeng_t0000425,1,1,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000015,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000031,24,石,motif_stone,物象,石,0,1,hongloumeng_t0000493,hongloumeng_t0000493,1,1,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000016,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000032,25,書,motif_book,文藝,書,5,6,hongloumeng_t0000503,hongloumeng_t0000503,4,4,55,motif_rule,高歧義，保守使用。
