relation_id,source,target,source_name,target_name,relation_type,relation_label,direction,confidence,source_method,note
hongloumeng_pr0001,person_jia_baoyu,person_jia_zheng,賈寶玉,賈政,kin,父子,undirected,0.95,seed_manual_v1,賈政為賈寶玉之父。
hongloumeng_pr0002,person_jia_baoyu,person_wang_furen,賈寶玉,王夫人,kin,母子,undirected,0.95,seed_manual_v1,王夫人為賈寶玉之母。
hongloumeng_pr0003,person_jia_baoyu,person_jia_mu,賈寶玉,賈母,kin,祖孫,undirected,0.95,seed_manual_v1,賈母為賈寶玉祖母。
hongloumeng_pr0004,person_lin_daiyu,person_lin_ruhai,林黛玉,林如海,kin,父女,undirected,0.95,seed_manual_v1,林如海為林黛玉之父。
hongloumeng_pr0005,person_lin_daiyu,person_jia_mu,林黛玉,賈母,kin,外祖孫,undirected,0.95,seed_manual_v1,林黛玉為賈母外孫女。
hongloumeng_pr0006,person_xue_baochai,person_xue_yima,薛寶釵,薛姨媽,kin,母女,undirected,0.95,seed_manual_v1,薛姨媽為薛寶釵之母。
hongloumeng_pr0007,person_jia_lian,person_jia_she,賈璉,賈赦,kin,父子,undirected,0.95,seed_manual_v1,賈赦為賈璉之父。
hongloumeng_pr0008,person_jia_yingchun,person_jia_she,賈迎春,賈赦,kin,父女,undirected,0.9,seed_manual_v1,賈迎春為賈赦之女。
hongloumeng_pr0009,person_jia_tanchun,person_jia_zheng,賈探春,賈政,kin,父女,undirected,0.95,seed_manual_v1,賈探春為賈政庶女。
hongloumeng_pr0010,person_jia_tanchun,person_zhao_yiniang,賈探春,趙姨娘,kin,母女,undirected,0.95,seed_manual_v1,趙姨娘為賈探春生母。
hongloumeng_pr0011,person_jia_huan,person_jia_zheng,賈環,賈政,kin,父子,undirected,0.95,seed_manual_v1,賈環為賈政庶子。
hongloumeng_pr0012,person_jia_huan,person_zhao_yiniang,賈環,趙姨娘,kin,母子,undirected,0.95,seed_manual_v1,趙姨娘為賈環生母。
hongloumeng_pr0013,person_jia_zhen,person_jia_rong,賈珍,賈蓉,kin,父子,undirected,0.95,seed_manual_v1,賈珍為賈蓉之父。
hongloumeng_pr0014,person_jia_zhen,person_jia_xichun,賈珍,賈惜春,kin,兄妹,undirected,0.9,seed_manual_v1,賈惜春為寧府賈珍之妹。
hongloumeng_pr0015,person_li_wan,person_jia_lan,李紈,賈蘭,kin,母子,undirected,0.95,seed_manual_v1,李紈為賈蘭之母。
hongloumeng_pr0016,person_jia_baoyu,person_jia_huan,賈寶玉,賈環,kin,兄弟,undirected,0.85,seed_manual_v1,同父異母兄弟。
hongloumeng_pr0017,person_jia_yuanchun,person_jia_baoyu,賈元春,賈寶玉,kin,姊弟,undirected,0.9,seed_manual_v1,賈元春為賈寶玉之姊。
hongloumeng_pr0018,person_jia_tanchun,person_jia_baoyu,賈探春,賈寶玉,kin,兄妹,undirected,0.85,seed_manual_v1,同父異母兄妹。
hongloumeng_pr0019,person_jia_yingchun,person_jia_tanchun,賈迎春,賈探春,kin,姊妹,undirected,0.75,seed_manual_v1,賈府姊妹序列關係。
hongloumeng_pr0020,person_jia_tanchun,person_jia_xichun,賈探春,賈惜春,kin,姊妹,undirected,0.75,seed_manual_v1,賈府姊妹序列關係。
hongloumeng_pr0021,person_you_shi,person_you_erjie,尤氏,尤二姐,kin,姊妹/姻親,undirected,0.75,seed_manual_v1,尤氏與尤二姐為尤氏姐妹關係系統。
hongloumeng_pr0022,person_you_shi,person_you_sanjie,尤氏,尤三姐,kin,姊妹/姻親,undirected,0.75,seed_manual_v1,尤氏與尤三姐為尤氏姐妹關係系統。
hongloumeng_pr0023,person_you_erjie,person_you_sanjie,尤二姐,尤三姐,kin,姊妹,undirected,0.9,seed_manual_v1,尤二姐、尤三姐為姐妹。
hongloumeng_pr0024,person_zhen_shiyin,person_xiangling,甄士隱,香菱,kin,父女,undirected,0.9,seed_manual_v1,香菱原名甄英蓮，甄士隱之女。
hongloumeng_pr0025,person_jia_lian,person_wang_xifeng,賈璉,王熙鳳,marriage,夫妻,undirected,0.95,seed_manual_v1,王熙鳳為賈璉之妻。
hongloumeng_pr0026,person_jia_rong,person_qin_keqing,賈蓉,秦可卿,marriage,夫妻,undirected,0.95,seed_manual_v1,秦可卿為賈蓉之妻。
hongloumeng_pr0027,person_jia_zhen,person_you_shi,賈珍,尤氏,marriage,夫妻,undirected,0.95,seed_manual_v1,尤氏為賈珍之妻。
hongloumeng_pr0028,person_jia_baoyu,person_xue_baochai,賈寶玉,薛寶釵,marriage,婚配,undirected,0.85,seed_manual_v1,金玉良緣與後文婚配線。
hongloumeng_pr0029,person_jia_lian,person_you_erjie,賈璉,尤二姐,marriage,妾/婚配,undirected,0.8,seed_manual_v1,尤二姐與賈璉婚配線。
hongloumeng_pr0031,person_jia_zheng,person_zhao_yiniang,賈政,趙姨娘,marriage,妾,undirected,0.9,seed_manual_v1,趙姨娘為賈政妾。
hongloumeng_pr0032,person_jia_baoyu,person_lin_daiyu,賈寶玉,林黛玉,romance,情感,undirected,0.9,seed_manual_v1,木石前盟與寶黛情感線。
hongloumeng_pr0033,person_jia_baoyu,person_xiren,賈寶玉,襲人,romance,親密/准妾,undirected,0.65,seed_manual_v1,襲人與寶玉有親密及准妾線索。
hongloumeng_pr0034,person_jia_baoyu,person_qingwen,賈寶玉,晴雯,romance,親近/情感,undirected,0.55,seed_manual_v1,晴雯與寶玉為親近情感線，需後續校對。
hongloumeng_pr0035,person_jia_baoyu,person_xiren,賈寶玉,襲人,servant,主僕,directed,0.95,seed_manual_v1,襲人為寶玉身邊丫鬟。
hongloumeng_pr0036,person_jia_baoyu,person_qingwen,賈寶玉,晴雯,servant,主僕,directed,0.95,seed_manual_v1,晴雯為寶玉身邊丫鬟。
hongloumeng_pr0037,person_jia_baoyu,person_she_yue,賈寶玉,麝月,servant,主僕,directed,0.95,seed_manual_v1,麝月為寶玉身邊丫鬟。
hongloumeng_pr0038,person_jia_baoyu,person_qiuwen,賈寶玉,秋紋,servant,主僕,directed,0.9,seed_manual_v1,秋紋為寶玉身邊丫鬟。
hongloumeng_pr0039,person_lin_daiyu,person_zijuan,林黛玉,紫鵑,servant,主僕,directed,0.95,seed_manual_v1,紫鵑為林黛玉丫鬟。
hongloumeng_pr0040,person_lin_daiyu,person_xueyan,林黛玉,雪雁,servant,主僕,directed,0.95,seed_manual_v1,雪雁為林黛玉丫鬟。
hongloumeng_pr0041,person_xue_baochai,person_ying_er,薛寶釵,鶯兒,servant,主僕,directed,0.95,seed_manual_v1,鶯兒為薛寶釵丫鬟。
hongloumeng_pr0042,person_wang_xifeng,person_ping_er,王熙鳳,平兒,servant,主僕/陪房,directed,0.95,seed_manual_v1,平兒為王熙鳳陪房丫鬟。
hongloumeng_pr0043,person_jia_mu,person_yuanyang,賈母,鴛鴦,servant,主僕,directed,0.95,seed_manual_v1,鴛鴦為賈母身邊丫鬟。
hongloumeng_pr0044,person_jia_yingchun,person_siqi,賈迎春,司棋,servant,主僕,directed,0.9,seed_manual_v1,司棋為迎春丫鬟。
hongloumeng_pr0045,person_jia_tanchun,person_shishu,賈探春,侍書,servant,主僕,directed,0.9,seed_manual_v1,侍書為探春丫鬟。
hongloumeng_pr0046,person_jia_xichun,person_ruhua,賈惜春,入畫,servant,主僕,directed,0.9,seed_manual_v1,入畫為惜春丫鬟。
hongloumeng_pr0047,person_wang_furen,person_jinchuan,王夫人,金釧,servant,主僕,directed,0.9,seed_manual_v1,金釧為王夫人丫鬟。
hongloumeng_pr0048,person_wang_furen,person_yuchuan,王夫人,玉釧,servant,主僕,directed,0.9,seed_manual_v1,玉釧為王夫人丫鬟。
hongloumeng_pr0049,person_wang_furen,person_zhou_rui_jia,王夫人,周瑞家的,servant,陪房/僕役,directed,0.85,seed_manual_v1,周瑞家的為王夫人陪房。
hongloumeng_pr0050,person_jia_mu,person_lai_da,賈母,賴大,servant,僕役/管家,directed,0.75,seed_manual_v1,賴大為賈府管家，暫連賈母代表家族權力中心。
hongloumeng_pr0052,person_jia_baoyu,person_miaoyu,賈寶玉,妙玉,ally,詩文/清談,undirected,0.55,seed_manual_v1,寶玉與妙玉的清談、品茶關係，需後續校對。
hongloumeng_pr0053,person_lin_daiyu,person_shi_xiangyun,林黛玉,史湘雲,ally,詩社/姊妹,undirected,0.7,seed_manual_v1,大觀園詩社與姊妹互動。
hongloumeng_pr0054,person_xue_baochai,person_shi_xiangyun,薛寶釵,史湘雲,ally,詩社/姊妹,undirected,0.7,seed_manual_v1,大觀園詩社與姊妹互動。
hongloumeng_pr0055,person_li_wan,person_jia_tanchun,李紈,賈探春,ally,理家/詩社,undirected,0.7,seed_manual_v1,李紈與探春在詩社、理家中同場。
