surface_text,motif_key,motif_type,subtype,priority,notes
玉,motif_jade,物象,玉石,80,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
通靈寶玉,motif_jade,物象,玉石,100,核心象徵物。
夢,motif_dream,夢幻,夢,90,真幻、預示、太虛幻境相關。
淚,motif_tears,情感身體,眼淚,90,還淚神話與情感表現。
哭,motif_tears,情感身體,哭泣,70,情緒與身體反應。
病,motif_illness,身體,疾病,85,身體、命運、情感消耗。
香,motif_fragrance,感官,香氣,75,女性、空間、物件命名常見。
紅,motif_red,顏色,紅色,80,紅樓、女兒、繁華、情感色彩。
白,motif_white,顏色,白色,75,潔淨、喪亡、雪色等語境。
青,motif_green_blue,顏色,青色,70,服色、植物、空間色彩。
綠,motif_green,顏色,綠色,70,服色、植物、空間色彩。
紫,motif_purple,顏色,紫色,70,服色、身份、空間色彩。
花,motif_flower,花木,泛花,65,泛稱花，需注意高頻與歧義。
海棠,motif_haitang,花木,海棠,95,海棠社與女性才情相關。
菊花,motif_chrysanthemum,花木,菊花,90,詩社、季節、文人意象。
芙蓉,motif_hibiscus,花木,芙蓉,90,晴雯等相關意象。
桃花,motif_peach_blossom,花木,桃花,85,
梅花,motif_plum_blossom,花木,梅花,85,
牡丹,motif_peony,花木,牡丹,85,
蓮,motif_lotus,花木,蓮,75,單字可能與人名重疊。
竹,motif_bamboo,花木,竹,75,瀟湘館與清雅意象。
柳,motif_willow,花木,柳,75,春景、女性、離別意象。
雪,motif_snow,自然,雪,85,潔白、寒冷、詩社場景。
月,motif_moon,自然,月,85,夜、情感、詩性場景。
風,motif_wind,自然,風,70,
雨,motif_rain,自然,雨,70,
詩,motif_poetry,文藝,詩,80,詩社、才情、題詠。
曲,motif_song_drama,文藝,曲,70,戲曲、歌曲、曲文。
書,motif_book,文藝,書,55,高歧義，保守使用。
酒,motif_wine,飲食,酒,70,宴飲與情境。
茶,motif_tea,飲食,茶,70,日常、品味、空間交往。
藥,motif_medicine,身體,藥,75,疾病與身體治理。
金,motif_gold,物象,金,60,金玉、財富、命名歧義。
石,motif_stone,物象,石,70,石頭記、頑石神話。
